scenario,task,foreground_coverage,background_annotation_ratio,total_annotation_ratio,valid_pixels,zero_foreground_slices,min_valid_pixels,max_valid_pixels,content_sha256
class,T1,0.140606294,0.005348169,0.010942851,1075726,282,336,1282,e6978a1334ae7e63092d9b9dc145d09b13be89ae4084de01f684397f265e3e76
class,T2,0.111895894,0.005289762,0.008570892,842553,174,336,872,a6fbdec9795b49e9c5de295933f934e02d541a62da9e86e3535daf0bbc7329bb
class,T3,0.099016326,0.005180391,0.006148356,604408,732,336,808,9ced87900c81bb409b732f7cab8e4ea3cb48fa4634bced6cad250a07fbfa3e60
domain,A,0.057704814,0.005264430,0.006633873,130862,133,336,692,9f28d74fae1b487683df58b3fe20d0651a5d619f27d0e2cd786080ca8d2bac2d
domain,B,0.089441522,0.005199206,0.006369909,70133,72,336,611,3c6a5b241de1abb0a144857e4d94ad766e6961228963ed4f0bfbce60c9923a98
domain,C,0.068523072,0.005238326,0.006583836,148860,109,336,663,8ced6b2c721fc3a443c3563e3f9eb0b0d3d70191acf300d9a6c80256b688d6e6
domain,D,0.065536392,0.005197143,0.006012055,65405,74,336,552,2a7631ffa9964858c9501a69ab18a4a4344179b428a56c287f83b97160b27b7a
domain,E,0.074963507,0.005206249,0.006268714,239101,363,336,933,6b21b347e097b8a316dbb12a3c75120fc13cce111f42732747545ff593df3ab9
domain,F,0.082016316,0.005190009,0.006123413,282518,431,336,765,bfab30f8d2318139ba1e7e9106ff0e15a0a3daaf486066b7f2e4b00b1153505a
organ,T1,0.169107183,0.005182373,0.006935380,346342,0,340,701,0d9757b460289e9f42132ceb6a121ebff0bb8d8b271b48049c2117ab3d914987
organ,T2,0.065536392,0.005197143,0.006012055,65405,74,336,552,9fec5482a32c8c344b736b9d0dea602a784580f0d739b2909aa5160b12a353f7
organ,T3,0.086132568,0.005477204,0.010634871,990390,0,337,1961,8e4ec2b3c86b056b51f01172a6958b6ac04f5bf6ccdf1809bf7260e96114ab53
organ,T4,0.194205766,0.005313171,0.011933531,1535215,0,342,2202,18434ada1d4dd51d9f0cf36b64bccc3a7e14bfea074cf2aa1700542f04f3d520
