scenario,task,supervision,status,step,aggregate_fg_dice,known_pixel_accuracy,initial_loss,final_loss,runtime_seconds,dense_access
class,T1,dense,PASS,450,0.9603818868,,1.6839258671,0.4580383003,137.655,not_applicable
class,T1,pce,PASS,250,0.1563285224,0.9948093105,1.6793292761,0.0036068442,88.022,false
domain,A,dense,PASS,300,0.9596997409,,0.8844184875,0.2359990478,52.781,not_applicable
domain,A,pce,PASS,25,0.3910734795,0.9968821202,1.0879119635,0.0041136737,7.424,false
domain,B,dense,PASS,375,0.9605183236,,0.8780584335,0.3175971508,42.702,not_applicable
domain,B,pce,PASS,75,0.1185866090,0.9884690192,0.8781555891,0.0009908166,14.842,false
domain,C,dense,PASS,175,0.9548116626,,0.8883666396,0.3351442814,29.366,not_applicable
domain,C,pce,PASS,75,0.4539623371,0.9830798886,0.8460891247,0.0015118821,18.956,false
domain,D,dense,PASS,475,0.9549785752,,0.8911824822,0.2360488772,76.012,not_applicable
domain,D,pce,PASS,175,0.0559984371,0.9977889151,0.8989011049,0.0003167912,36.286,false
domain,E,dense,PASS,300,0.9552072643,,0.8759173751,0.3118649721,59.061,not_applicable
domain,E,pce,PASS,375,0.1532118553,0.9960486022,0.8295215964,0.0000588243,83.731,false
domain,F,dense,PASS,200,0.9604171026,,0.9288715124,0.3467653394,38.062,not_applicable
domain,F,pce,PASS,125,0.1407421095,0.9843304843,1.6677157879,0.0005763087,36.912,false
organ,T1,dense,PASS,300,0.9510229386,,0.8857707977,0.3635942936,71.662,not_applicable
organ,T1,pce,PASS,250,0.0217362836,0.9978270317,1.0495767593,0.0001923775,69.220,false
organ,T2,dense,PASS,600,0.9635263137,,0.8946124315,0.2479408979,85.585,not_applicable
organ,T2,pce,PASS,150,0.0638459197,0.9921875000,0.7630664110,0.0006209988,27.281,false
organ,T3,dense,PASS,1375,0.9510253878,,0.8453930020,0.1027328521,411.053,not_applicable
organ,T3,pce,PASS,300,0.0195001716,0.9861434861,0.9006664157,0.0002676633,102.873,false
organ,T4,dense,PASS,275,0.9503606763,,0.8644176722,0.3678227067,107.005,not_applicable
organ,T4,pce,PASS,50,0.1024121033,1.0000000000,0.7339997888,0.0008162684,27.239,false
