scope,patient_index,class_id,class_name,nonempty_slices,multicomponent_slices,mean_retention,p05_retention,minimum_retention,fraction_retention_ge_0_95,eligible
patient,0,1,MYO,90,7,0.9988358798069233,0.999375496284308,0.9,0.9888888888888889,
patient,0,2,LV,63,1,0.9997183819764465,1.0,0.9822580645161291,1.0,
patient,0,3,LA,79,3,0.9972791966752521,1.0,0.7962697274031564,0.9873417721518988,
patient,1,1,MYO,72,10,0.9950120384565183,0.997935586548914,0.7333333333333333,0.9722222222222222,
patient,1,2,LV,53,1,0.9995398067188219,1.0,0.975609756097561,1.0,
patient,1,3,LA,56,4,0.9963541697984363,0.9928296379532436,0.8985024958402662,0.9642857142857143,
patient,2,1,MYO,53,16,0.9993309388450067,0.996145451210565,0.9911227154046998,1.0,
patient,2,2,LV,52,1,0.9956293706293706,1.0,0.7727272727272727,0.9807692307692307,
patient,2,3,LA,34,3,0.9879452399580309,0.9503930817610062,0.7049180327868853,0.9411764705882353,
patient,3,1,MYO,60,12,0.999839844008206,0.9993112192213723,0.9980569948186528,1.0,
patient,3,2,LV,63,1,0.9998226478673405,1.0,0.9888268156424581,1.0,
patient,3,3,LA,54,5,0.9993092492347714,0.9956332612597911,0.9811643835616438,1.0,
patient,4,1,MYO,80,13,0.9933990736490832,0.9959482973929129,0.5,0.9875,
patient,4,2,LV,51,1,0.9956427015250545,1.0,0.7777777777777778,0.9803921568627451,
patient,4,3,LA,68,4,0.995737453774142,0.9997697484945094,0.7272727272727273,0.9852941176470589,
patient,5,1,MYO,67,20,0.9903681727218054,0.9944511184003486,0.47619047619047616,0.9701492537313433,
patient,5,2,LV,66,3,0.9979615825723358,1.0,0.9068541300527241,0.9848484848484849,
patient,5,3,LA,55,7,0.9875092884576121,0.9649665794827086,0.5483870967741935,0.9454545454545454,
patient,6,1,MYO,60,10,0.9885004471466984,0.9969115872937083,0.3333333333333333,0.9833333333333333,
patient,6,2,LV,56,6,0.9971966116897973,0.9810061270557885,0.9453302961275627,0.9821428571428571,
patient,6,3,LA,43,2,0.9991489443084455,1.0,0.9765625,1.0,
patient,7,1,MYO,58,11,0.9981241234248777,0.9974544286362832,0.9230769230769231,0.9827586206896551,
patient,7,2,LV,60,2,0.9991351301563702,1.0,0.9600409836065574,1.0,
patient,7,3,LA,44,4,0.9934468413379828,0.9484728010528625,0.8979591836734694,0.9090909090909091,
patient,8,1,MYO,70,7,0.9998272128065923,0.9990926253531539,0.9944008958566629,1.0,
patient,8,2,LV,70,2,0.9976381037752532,1.0,0.8375912408759124,0.9857142857142858,
patient,8,3,LA,46,6,0.9847244470786842,0.8716456422018349,0.8073394495412844,0.8913043478260869,
patient,9,1,MYO,74,15,0.9920739572335109,0.9928655614587283,0.7112676056338029,0.972972972972973,
patient,9,2,LV,65,1,0.9999725274725274,1.0,0.9982142857142857,1.0,
patient,9,3,LA,68,1,0.9947478991596638,1.0,0.6428571428571429,0.9852941176470589,
patient,10,1,MYO,56,15,0.993305950825408,0.996445766850916,0.6533333333333333,0.9821428571428571,
patient,10,2,LV,56,1,0.9925249169435215,1.0,0.5813953488372093,0.9821428571428571,
patient,10,3,LA,54,3,0.9980476078774585,0.9994752623688156,0.9090909090909091,0.9814814814814815,
patient,11,1,MYO,76,13,0.9977600958281728,0.990827710415504,0.8923076923076924,0.9868421052631579,
patient,11,2,LV,63,0,1.0,1.0,1.0,1.0,
patient,11,3,LA,57,10,0.9688463164126941,0.7775862068965517,0.7189141856392294,0.8596491228070176,
patient,12,1,MYO,69,8,0.9989526459038154,0.9974644079451156,0.9573742540494459,1.0,
patient,12,2,LV,54,3,0.9990111740111739,0.9988636363636364,0.974025974025974,1.0,
patient,12,3,LA,59,2,0.9980990694346193,1.0,0.9303079416531604,0.9830508474576272,
patient,13,1,MYO,65,10,0.9945803007555181,0.9974356931392997,0.7815126050420168,0.9692307692307692,
patient,13,2,LV,52,2,0.9971017544287935,1.0,0.8521897810218978,0.9807692307692307,
patient,13,3,LA,48,3,0.9961455010567798,0.9850917431192661,0.9131886477462438,0.9583333333333334,
patient,14,1,MYO,61,17,0.9996735845346852,0.9983147960903269,0.9948088721094857,1.0,
patient,14,2,LV,60,2,0.9995769000598443,1.0,0.98,1.0,
patient,14,3,LA,41,13,0.8821231217623409,0.5021008403361344,0.5,0.7073170731707317,
global,ALL,1,MYO,1011,184,0.9959749404910936,0.9970451796288641,0.3333333333333333,0.9861523244312562,True
global,ALL,2,LV,884,27,0.9981205517306072,1.0,0.5813953488372093,0.9920814479638009,True
global,ALL,3,LA,806,70,0.9872963036206696,0.9465728615213151,0.5,0.9466501240694789,False
